Year,Conference,Union,Churches,Companies,Beginning Membership,Baptisms,Former Member Baptisms,Professions of Faith,Transfers In,Transfers Out,Deaths,Dropped,Missing,Total Gains,Total Losses,Adjust,Net Growth,Ending Membership,Growth Rate,Accession Rate,Death Rate,Ordained Ministers,Licensed Ministers
2019,Mountain View Ghana Conference,Northern Ghana Union Conference,102.0,84.0,29977,1107.0,0.0,24.0,190.0,204.0,138.0,7.0,0.0,1321,349,-1413.0,-441,29536,-1.47%,3.77%,0.46%,0.0,0.0
2020,Mountain View Ghana Conference,Northern Ghana Union Conference,125.0,95.0,29536,781.0,0.0,1.0,68.0,59.0,76.0,0.0,0.0,850,135,-37.0,678,30214,2.30%,2.65%,0.26%,0.0,0.0
2021,Mountain View Ghana Conference,Northern Ghana Union Conference,125.0,87.0,30214,1146.0,2.0,15.0,1617.0,1625.0,80.0,2.0,0.0,2780,1707,-232.0,841,31055,2.78%,3.84%,0.26%,0.0,0.0
2022,Mountain View Ghana Conference,Northern Ghana Union Conference,130.0,85.0,31055,2037.0,3.0,18.0,319.0,323.0,86.0,42.0,0.0,2377,451,-139.0,1787,32842,5.75%,6.62%,0.28%,0.0,0.0
1969,North Ghana Mission,Northern Ghana Union Conference,1.0,0.0,0,31.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,132,0,0.0,132,132,none,none,none,2.0,3.0
1970,North Ghana Mission,Northern Ghana Union Conference,1.0,0.0,132,37.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,37,3,0.0,34,166,25.76%,28.03%,0.00%,2.0,2.0
1971,North Ghana Mission,Northern Ghana Union Conference,1.0,0.0,166,40.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,41,1,0.0,40,206,24.10%,24.10%,0.00%,1.0,2.0
1972,North Ghana Mission,Northern Ghana Union Conference,1.0,0.0,206,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37,0,0.0,37,243,17.96%,17.48%,0.00%,1.0,1.0
1973,North Ghana Mission,Northern Ghana Union Conference,2.0,0.0,243,160.0,0.0,0.0,6.0,8.0,0.0,2.0,0.0,166,10,0.0,156,399,64.20%,65.84%,0.00%,1.0,3.0
1974,North Ghana Mission,Northern Ghana Union Conference,2.0,0.0,399,58.0,0.0,0.0,4.0,4.0,0.0,19.0,0.0,62,23,0.0,39,438,9.77%,14.54%,0.00%,2.0,2.0
1975,North Ghana Mission,Northern Ghana Union Conference,2.0,0.0,438,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161,0,0.0,161,599,36.76%,36.76%,0.00%,1.0,2.0
1976,North Ghana Mission,Northern Ghana Union Conference,2.0,0.0,599,150.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,150,2,0.0,148,747,24.71%,25.04%,0.00%,1.0,5.0
1977,North Ghana Mission,Northern Ghana Union Conference,2.0,0.0,747,102.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,102,4,0.0,98,845,13.12%,13.65%,0.00%,2.0,5.0
1979,North Ghana Mission,Northern Ghana Union Conference,2.0,0.0,845,58.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,58,10,0.0,48,893,5.68%,6.86%,1.18%,0.0,0.0
1980,North Ghana Mission,Northern Ghana Union Conference,2.0,0.0,893,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,0,0.0,62,955,6.94%,6.94%,0.00%,2.0,9.0
1981,North Ghana Mission,Northern Ghana Union Conference,2.0,0.0,955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,26.0,26,981,2.72%,0.00%,0.00%,0.0,0.0
1982,North Ghana Mission,Northern Ghana Union Conference,2.0,0.0,981,65.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,67,8,0.0,59,1040,6.01%,6.63%,0.00%,1.0,18.0
1983,North Ghana Mission,Northern Ghana Union Conference,2.0,0.0,1040,255.0,0.0,0.0,0.0,10.0,2.0,41.0,0.0,255,53,0.0,202,1242,19.42%,24.52%,0.19%,1.0,18.0
1984,North Ghana Mission,Northern Ghana Union Conference,2.0,0.0,1242,246.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,246,21,21.0,246,1488,19.81%,19.81%,1.69%,2.0,5.0
1985,North Ghana Mission,Northern Ghana Union Conference,2.0,0.0,1488,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475,0,0.0,475,1963,31.92%,31.92%,0.00%,3.0,5.0
1986,North Ghana Mission,Northern Ghana Union Conference,3.0,0.0,1963,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172,0,0.0,172,2135,8.76%,8.76%,0.00%,3.0,5.0
1987,North Ghana Mission,Northern Ghana Union Conference,4.0,0.0,2135,256.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,259,7,0.0,252,2387,11.80%,11.99%,0.00%,5.0,5.0
1988,North Ghana Mission,Northern Ghana Union Conference,4.0,0.0,2387,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186,0,0.0,186,2573,7.79%,7.79%,0.00%,0.0,0.0
1989,North Ghana Mission,Northern Ghana Union Conference,4.0,0.0,2573,117.0,0.0,0.0,10.0,10.0,2.0,8.0,0.0,127,20,0.0,107,2680,4.16%,4.55%,0.08%,5.0,7.0
1990,North Ghana Mission,Northern Ghana Union Conference,4.0,0.0,2680,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225,0,0.0,225,2905,8.40%,8.40%,0.00%,7.0,4.0
1991,North Ghana Mission,Northern Ghana Union Conference,4.0,0.0,2905,234.0,0.0,0.0,5.0,2.0,0.0,5.0,0.0,239,7,0.0,232,3137,7.99%,8.06%,0.00%,7.0,6.0
1992,North Ghana Mission,Northern Ghana Union Conference,4.0,0.0,3137,188.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,192,8,0.0,184,3321,5.87%,5.99%,0.03%,7.0,5.0
1993,North Ghana Mission,Northern Ghana Union Conference,4.0,0.0,3321,63.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,63,3,0.0,60,3381,1.81%,1.90%,0.00%,12.0,5.0
1994,North Ghana Mission,Northern Ghana Union Conference,4.0,0.0,3381,176.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,179,7,0.0,172,3553,5.09%,5.21%,0.06%,9.0,0.0
1995,North Ghana Mission,Northern Ghana Union Conference,4.0,0.0,3553,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,0,0.0,135,3688,3.80%,3.80%,0.00%,9.0,4.0
1996,North Ghana Mission,Northern Ghana Union Conference,7.0,0.0,3688,201.0,0.0,0.0,21.0,10.0,7.0,33.0,0.0,222,50,0.0,172,3860,4.66%,5.45%,0.19%,8.0,6.0
1997,North Ghana Mission,Northern Ghana Union Conference,7.0,46.0,3860,242.0,0.0,0.0,0.0,10.0,0.0,48.0,0.0,242,58,-20.0,164,4024,4.25%,6.27%,0.00%,9.0,6.0
1998,North Ghana Mission,Northern Ghana Union Conference,7.0,45.0,4024,430.0,0.0,11.0,27.0,19.0,3.0,28.0,14.0,468,64,241.0,645,4669,16.03%,10.96%,0.07%,8.0,3.0
1999,North Ghana Mission,Northern Ghana Union Conference,8.0,50.0,4669,327.0,0.0,16.0,24.0,8.0,1.0,6.0,7.0,367,22,0.0,345,5014,7.39%,7.35%,0.02%,9.0,5.0
2000,North Ghana Mission,Northern Ghana Union Conference,12.0,49.0,5014,429.0,0.0,67.0,92.0,10.0,5.0,2.0,0.0,588,17,-472.0,99,5113,1.97%,9.89%,0.10%,9.0,5.0
2001,North Ghana Mission,Northern Ghana Union Conference,18.0,47.0,5113,361.0,0.0,1.0,8.0,22.0,4.0,1.0,0.0,370,27,0.0,343,5456,6.71%,7.08%,0.08%,10.0,6.0
2002,North Ghana Mission,Northern Ghana Union Conference,18.0,54.0,5456,444.0,0.0,0.0,17.0,12.0,1.0,0.0,0.0,461,13,32.0,480,5936,8.80%,8.14%,0.02%,7.0,5.0
2003,North Ghana Mission,Northern Ghana Union Conference,12.0,56.0,5936,243.0,0.0,2.0,4.0,0.0,1.0,2.0,0.0,249,3,0.0,246,6182,4.14%,4.13%,0.02%,5.0,4.0
2004,North Ghana Mission,Northern Ghana Union Conference,12.0,58.0,6182,389.0,0.0,0.0,6.0,11.0,0.0,4.0,0.0,395,15,-2.0,378,6560,6.11%,6.29%,0.00%,7.0,5.0
2005,North Ghana Mission,Northern Ghana Union Conference,16.0,62.0,6560,517.0,0.0,3.0,17.0,30.0,6.0,6.0,15.0,537,57,0.0,480,7040,7.32%,7.93%,0.09%,7.0,5.0
2006,North Ghana Mission,Northern Ghana Union Conference,16.0,71.0,7040,269.0,0.0,44.0,3.0,4.0,2.0,4.0,0.0,316,10,-69.0,237,7277,3.37%,4.45%,0.03%,7.0,9.0
2007,North Ghana Mission,Northern Ghana Union Conference,16.0,71.0,7277,461.0,0.0,4.0,0.0,10.0,2.0,2.0,2.0,465,16,-13.0,436,7713,5.99%,6.39%,0.03%,7.0,9.0
2008,North Ghana Mission,Northern Ghana Union Conference,18.0,67.0,7713,197.0,0.0,46.0,12.0,27.0,0.0,24.0,90.0,255,141,6.0,120,7833,1.56%,3.15%,0.00%,12.0,4.0
2009,North Ghana Mission,Northern Ghana Union Conference,17.0,83.0,7833,773.0,0.0,147.0,5.0,209.0,89.0,476.0,2011.0,925,2785,-1917.0,-3777,4056,-48.22%,11.75%,1.14%,12.0,5.0
2010,North Ghana Mission,Northern Ghana Union Conference,17.0,83.0,4056,87.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,95,0,0.0,95,4151,2.34%,2.14%,0.00%,13.0,1.0
2011,North Ghana Mission,Northern Ghana Union Conference,17.0,83.0,4151,449.0,0.0,239.0,226.0,13.0,16.0,17.0,4.0,914,50,68.0,932,5083,22.45%,16.57%,0.39%,7.0,13.0
2012,North Ghana Mission,Northern Ghana Union Conference,17.0,89.0,5083,500.0,0.0,1.0,7.0,5.0,4.0,2.0,1.0,508,12,344.0,840,5923,16.53%,9.86%,0.08%,7.0,13.0
2013,North Ghana Mission,Northern Ghana Union Conference,17.0,89.0,5923,508.0,0.0,1.0,7.0,5.0,4.0,0.0,0.0,516,9,0.0,507,6430,8.56%,8.59%,0.07%,5.0,11.0
2014,North Ghana Mission,Northern Ghana Union Conference,14.0,75.0,6430,618.0,0.0,0.0,2.0,10.0,4.0,2.0,3.0,620,19,-359.0,242,6672,3.76%,9.61%,0.06%,35.0,17.0
2015,North Ghana Mission,Northern Ghana Union Conference,16.0,78.0,6672,284.0,0.0,36.0,37.0,30.0,22.0,27.0,93.0,357,172,83.0,268,6940,4.02%,4.80%,0.33%,11.0,12.0
2016,North Ghana Mission,Northern Ghana Union Conference,16.0,78.0,6940,627.0,0.0,1.0,13.0,9.0,8.0,0.0,118.0,641,135,-19.0,487,7427,7.02%,9.05%,0.12%,9.0,12.0
2017,North Ghana Mission,Northern Ghana Union Conference,16.0,89.0,7427,482.0,0.0,1.0,7.0,4.0,2.0,0.0,0.0,490,6,0.0,484,7911,6.52%,6.50%,0.03%,12.0,12.0
2018,North Ghana Mission,Northern Ghana Union Conference,16.0,106.0,7911,452.0,0.0,25.0,3.0,4.0,3.0,0.0,0.0,480,7,0.0,473,8384,5.98%,6.03%,0.04%,0.0,0.0
2019,North Ghana Mission,Northern Ghana Union Conference,19.0,106.0,8384,255.0,0.0,3.0,2.0,1.0,6.0,0.0,0.0,260,7,0.0,253,8637,3.02%,3.08%,0.07%,0.0,0.0
2020,North Ghana Mission,Northern Ghana Union Conference,24.0,113.0,8637,121.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,122,0,-2570.0,-2448,6189,-28.34%,1.41%,0.00%,0.0,0.0
2021,North Ghana Mission,Northern Ghana Union Conference,24.0,123.0,6189,642.0,0.0,0.0,18.0,15.0,6.0,0.0,0.0,660,21,27.0,666,6855,10.76%,10.37%,0.10%,0.0,0.0
2022,North Ghana Mission,Northern Ghana Union Conference,26.0,138.0,6855,404.0,1.0,6.0,16.0,16.0,7.0,9.0,0.0,427,32,-9.0,386,7241,5.63%,5.98%,0.10%,0.0,0.0
1998,South Central Ghana Conference,Northern Ghana Union Conference,131.0,240.0,48271,1422.0,0.0,1.0,18.0,127.0,50.0,35.0,88.0,1441,300,-64.0,1077,49348,2.23%,2.95%,0.10%,27.0,11.0
1999,South Central Ghana Conference,Northern Ghana Union Conference,135.0,257.0,49348,4052.0,0.0,360.0,3189.0,4076.0,151.0,181.0,135.0,7601,4543,0.0,3058,52406,6.20%,8.94%,0.31%,25.0,18.0
2000,South Central Ghana Conference,Northern Ghana Union Conference,138.0,268.0,52406,3485.0,0.0,25.0,293.0,1041.0,214.0,439.0,146.0,3803,1840,-40.0,1923,54329,3.67%,6.70%,0.41%,25.0,18.0
2001,South Central Ghana Conference,Northern Ghana Union Conference,163.0,262.0,54329,2845.0,0.0,2.0,431.0,1404.0,221.0,305.0,250.0,3278,2180,-215.0,883,55212,1.63%,5.24%,0.41%,37.0,14.0
2002,South Central Ghana Conference,Northern Ghana Union Conference,169.0,250.0,55212,3677.0,0.0,32.0,631.0,900.0,268.0,188.0,75.0,4340,1431,1015.0,3924,59136,7.11%,6.72%,0.49%,30.0,20.0
2003,South Central Ghana Conference,Northern Ghana Union Conference,185.0,250.0,59136,2460.0,0.0,8.0,466.0,982.0,243.0,114.0,79.0,2934,1418,-301.0,1215,60351,2.05%,4.17%,0.41%,31.0,15.0
2004,South Central Ghana Conference,Northern Ghana Union Conference,203.0,244.0,60351,4016.0,0.0,9.0,299.0,1040.0,333.0,251.0,420.0,4324,2044,0.0,2280,62631,3.78%,6.67%,0.55%,38.0,16.0
2005,South Central Ghana Conference,Northern Ghana Union Conference,206.0,246.0,62631,2946.0,0.0,68.0,314.0,1085.0,314.0,120.0,188.0,3328,1707,130.0,1751,64382,2.80%,4.81%,0.50%,38.0,16.0
2006,South Central Ghana Conference,Northern Ghana Union Conference,209.0,244.0,64382,3405.0,0.0,27.0,447.0,627.0,205.0,57.0,51.0,3879,940,-27.0,2912,67294,4.52%,5.33%,0.32%,32.0,18.0
2007,South Central Ghana Conference,Northern Ghana Union Conference,223.0,244.0,67294,2689.0,0.0,79.0,456.0,810.0,283.0,58.0,47.0,3224,1198,1.0,2027,69321,3.01%,4.11%,0.42%,38.0,17.0
2008,South Central Ghana Conference,Northern Ghana Union Conference,223.0,253.0,69321,3360.0,0.0,41.0,247.0,660.0,230.0,61.0,62.0,3648,1013,0.0,2635,71956,3.80%,4.91%,0.33%,40.0,20.0
2009,South Central Ghana Conference,Northern Ghana Union Conference,220.0,280.0,71956,3577.0,0.0,11.0,273.0,461.0,254.0,48.0,45.0,3861,808,0.0,3053,75009,4.24%,4.99%,0.35%,45.0,15.0
2010,South Central Ghana Conference,Northern Ghana Union Conference,231.0,279.0,75009,3098.0,0.0,5.0,7826.0,7980.0,246.0,31.0,47.0,10929,8304,0.0,2625,77634,3.50%,4.14%,0.33%,50.0,22.0
2011,South Central Ghana Conference,Northern Ghana Union Conference,233.0,285.0,77634,3626.0,0.0,49.0,268.0,347.0,209.0,79.0,57.0,3943,692,0.0,3251,80885,4.19%,4.73%,0.27%,53.0,23.0
2012,South Central Ghana Conference,Northern Ghana Union Conference,239.0,299.0,80885,4069.0,0.0,58.0,292.0,292.0,255.0,65.0,95.0,4419,707,1.0,3713,84598,4.59%,5.10%,0.32%,57.0,0.0
2013,South Central Ghana Conference,Northern Ghana Union Conference,250.0,311.0,84598,4137.0,0.0,10.0,165.0,263.0,202.0,45.0,15.0,4312,525,0.0,3787,88385,4.48%,4.90%,0.24%,44.0,24.0
2014,South Central Ghana Conference,Northern Ghana Union Conference,274.0,319.0,88385,4956.0,0.0,33.0,11484.0,13341.0,182.0,33.0,10.0,16473,13566,-44434.0,-41527,46858,-46.98%,5.64%,0.21%,7.0,10.0
2015,South Central Ghana Conference,Northern Ghana Union Conference,80.0,107.0,46858,1945.0,0.0,34.0,927.0,33735.0,109.0,40.0,36.0,2906,33920,0.0,-31014,15844,-66.19%,4.22%,0.23%,22.0,12.0
2016,South Central Ghana Conference,Northern Ghana Union Conference,82.0,118.0,15844,1258.0,0.0,14.0,249.0,288.0,74.0,7.0,12.0,1521,381,0.0,1140,16984,7.20%,8.03%,0.47%,25.0,8.0
2017,South Central Ghana Conference,Northern Ghana Union Conference,92.0,119.0,16984,1351.0,0.0,21.0,1234.0,1282.0,83.0,1.0,47.0,2606,1413,0.0,1193,18177,7.02%,8.08%,0.49%,26.0,6.0
2018,South Central Ghana Conference,Northern Ghana Union Conference,96.0,125.0,18177,1424.0,0.0,5.0,483.0,670.0,44.0,61.0,104.0,1912,879,0.0,1033,19210,5.68%,7.86%,0.24%,0.0,0.0
2019,South Central Ghana Conference,Northern Ghana Union Conference,102.0,123.0,19210,1030.0,0.0,4.0,75.0,109.0,64.0,0.0,42.0,1109,215,0.0,894,20104,4.65%,5.38%,0.33%,0.0,0.0
2020,South Central Ghana Conference,Northern Ghana Union Conference,103.0,124.0,20104,824.0,3.0,0.0,6.0,10.0,21.0,0.0,0.0,833,31,-451.0,351,20455,1.75%,4.10%,0.10%,0.0,0.0
2021,South Central Ghana Conference,Northern Ghana Union Conference,106.0,122.0,20455,705.0,0.0,4.0,74.0,76.0,24.0,83.0,0.0,783,183,-250.0,350,20805,1.71%,3.47%,0.12%,0.0,0.0
2022,South Central Ghana Conference,Northern Ghana Union Conference,108.0,127.0,20805,2809.0,21.0,48.0,342.0,347.0,402.0,66.0,1.0,3220,816,-1210.0,1194,21999,5.74%,13.73%,1.93%,0.0,0.0
